Dataset,Algorithm,accuracy,precision,sensitivity,specificity,f1,auc,n_selected,Runtime_s
Iris,AMPA_FS,0.9468888888888888,0.9473865530034117,0.9468888888888888,0.9734444444444444,0.9468673390947944,0.9825288888888889,1.5666666666666667,0.05805746714274088
Iris,BMPA,0.9466666666666665,0.9471535538208325,0.9466666666666665,0.9733333333333334,0.9466457616482675,0.9826433333333333,1.5666666666666667,0.04895922342936198
Iris,BPSO,0.9464444444444443,0.946927863544722,0.9464444444444442,0.9732222222222223,0.9464237838949365,0.9822755555555555,1.5666666666666667,0.06414906978607178
Iris,BGA,0.9464444444444443,0.946927863544722,0.9464444444444442,0.9732222222222223,0.9464237838949365,0.9822755555555555,1.5666666666666667,0.07448734442392985
Iris,BGWO,0.9464444444444443,0.946927863544722,0.9464444444444442,0.9732222222222223,0.9464237838949365,0.9822755555555555,1.5666666666666667,0.08250464598337809
Iris,BWOA,0.9464444444444443,0.946927863544722,0.9464444444444442,0.9732222222222223,0.9464237838949365,0.9822755555555555,1.5666666666666667,0.07020301818847656
Iris,BSSA,0.9464444444444443,0.946927863544722,0.9464444444444442,0.9732222222222223,0.9464237838949365,0.9822755555555555,1.5666666666666667,0.07484799226125081
Iris,BHHO,0.9464444444444443,0.946927863544722,0.9464444444444442,0.9732222222222223,0.9464237838949365,0.9822755555555555,1.5666666666666667,0.0710383415222168
Iris,BSCA,0.9464444444444443,0.946927863544722,0.9464444444444442,0.9732222222222223,0.9464237838949365,0.9822755555555555,1.5666666666666667,0.06403423150380452
Iris,BGOA,0.9464444444444443,0.946927863544722,0.9464444444444442,0.9732222222222223,0.9464237838949365,0.9822755555555555,1.5666666666666667,0.6891077995300293
Iris,BWSO,0.9466666666666665,0.9471535538208325,0.9466666666666665,0.9733333333333334,0.9466457616482675,0.9826433333333333,1.5666666666666667,0.05464304288228353
Iris,BEHO,0.9466666666666665,0.9471535538208325,0.9466666666666665,0.9733333333333334,0.9466457616482675,0.9826433333333333,1.5666666666666667,0.06750266551971436
Iris,BCMAES,0.9466666666666665,0.9471535538208327,0.9466666666666665,0.9733333333333334,0.9466457616482675,0.9826433333333334,1.5666666666666667,0.025528494517008463
Wine,AMPA_FS,0.9569288389513105,0.9569111435375478,0.9591698496061114,0.9781774257750068,0.95778356590456,0.992841453557132,4.533333333333333,3.045141037305196
