Parameter,Value,Dataset,Fitness_Mean,Fitness_Std
pop_size,10.0,BreastCancer,0.018561403508771963,0.00920807319044426
pop_size,20.0,BreastCancer,0.017694736842105284,0.009386729596658025
pop_size,30.0,BreastCancer,0.017894736842105304,0.009057237370426003
pop_size,40.0,BreastCancer,0.017394736842105275,0.008622956933250877
pop_size,50.0,BreastCancer,0.0161245614035088,0.008638723508693236
pop_size,10.0,Ionosphere,0.07784184239733628,0.015686691734804435
pop_size,20.0,Ionosphere,0.07056881243063262,0.021435736525559357
pop_size,30.0,Ionosphere,0.062192563817980016,0.020554583944036423
pop_size,40.0,Ionosphere,0.06274417314095448,0.02108455351693809
pop_size,50.0,Ionosphere,0.0617219755826859,0.01695012603298735
pop_size,10.0,Sonar,0.08790238095238097,0.03730166363551796
pop_size,20.0,Sonar,0.06192619047619048,0.03199014950782316
pop_size,30.0,Sonar,0.07299285714285716,0.026046674593306826
pop_size,40.0,Sonar,0.05732857142857144,0.02230833406392067
pop_size,50.0,Sonar,0.06980000000000001,0.02956431207981736
stag_threshold,3.0,BreastCancer,0.01844035087719301,0.007547251175612677
stag_threshold,5.0,BreastCancer,0.01854035087719302,0.008438417038614218
stag_threshold,10.0,BreastCancer,0.017894736842105304,0.009057237370426003
stag_threshold,15.0,BreastCancer,0.017828070175438637,0.009032616933496199
stag_threshold,20.0,BreastCancer,0.017828070175438637,0.009032616933496199
stag_threshold,3.0,Ionosphere,0.0650532741398446,0.018310523024152457
stag_threshold,5.0,Ionosphere,0.06134683684794671,0.021975150929345308
stag_threshold,10.0,Ionosphere,0.062192563817980016,0.020554583944036423
stag_threshold,15.0,Ionosphere,0.0571698113207547,0.019627954926932138
stag_threshold,20.0,Ionosphere,0.06186903440621531,0.01895894068968786
stag_threshold,3.0,Sonar,0.0654357142857143,0.03317816956033212
stag_threshold,5.0,Sonar,0.07759047619047624,0.028804507237378808
stag_threshold,10.0,Sonar,0.07299285714285716,0.026046674593306826
stag_threshold,15.0,Sonar,0.0683619047619048,0.02354174850988123
stag_threshold,20.0,Sonar,0.0698666666666667,0.026864673462971955
alpha,0.9,BreastCancer,0.04364912280701756,0.010311790608149575
alpha,0.95,BreastCancer,0.031222222222222283,0.009821870280270907
alpha,0.99,BreastCancer,0.01789473684210531,0.009057237370426003
alpha,0.9,Ionosphere,0.08221420643729188,0.01884651867285167
alpha,0.95,Ionosphere,0.07503329633740288,0.013789511746510521
alpha,0.99,Ionosphere,0.062192563817980016,0.02055458394403642
alpha,0.9,Sonar,0.10395238095238095,0.02225144903432098
alpha,0.95,Sonar,0.08392460317460324,0.02616953497814849
alpha,0.99,Sonar,0.07299285714285716,0.026046674593306826
gamma_max,4.0,BreastCancer,0.018228070175438617,0.009609318217976913
gamma_max,6.0,BreastCancer,0.017515789473684238,0.008743005646673557
gamma_max,8.0,BreastCancer,0.017894736842105304,0.009057237370426003
gamma_max,10.0,BreastCancer,0.017828070175438616,0.009868089039249163
gamma_max,12.0,BreastCancer,0.016303508771929858,0.010590654399198497
gamma_max,4.0,Ionosphere,0.0649062153163152,0.015742927388578534
gamma_max,6.0,Ionosphere,0.06175138734739177,0.017504364872794272
gamma_max,8.0,Ionosphere,0.062192563817980016,0.020554583944036423
gamma_max,10.0,Ionosphere,0.060846836847946714,0.013066670779885447
gamma_max,12.0,Ionosphere,0.06219256381798001,0.012238581389849734
gamma_max,4.0,Sonar,0.06694047619047622,0.03425278221647346
gamma_max,6.0,Sonar,0.07320952380952384,0.030122941212663616
gamma_max,8.0,Sonar,0.07299285714285716,0.026046674593306826
gamma_max,10.0,Sonar,0.06525238095238098,0.02622554621693164
gamma_max,12.0,Sonar,0.0684119047619048,0.02383871555706033
